;;;
;DN-30;51800 - 51850 ;Днепропетровская область, Петриковский р-н
;DN-31;52700 - 52760;Днепропетровская область, Петропавловский р-н
;DN-32;53600 - 53650 ;Днепропетровская область, Покровский р-н
;DN-33;52100 - 52190 ;Днепропетровская область, Пятихатский р-н
;DN-34;52500 - 52509 ;Днепропетровская область, г. Синельниково
;DN-35;52510 - 52599;Днепропетровская область, Синельниковский р-н
;DN-36;52400 - 52470;Днепропетровская область, Солонянский р-н
;DN-37;53100 - 53190;Днепропетровская область, Софиевский р-н
;DN-38;51500 - 51509;Днепропетровская область, г. Терновка
;DN-39;51510 - 51590;Днепропетровская область, Терновский р-н
;DN-40;53500 - 53570;Днепропетровская область, Томаковский р-н
;DN-41;51000 - 51050;Днепропетровская область, Царичанский р-н
;DN-42;53700 - 53770;Днепропетровская область, Широковский р-н
;DN-43;51300 - 51330;Днепропетровская область, Юрьевский р-н
;DN-44;51900 - 51999;г. Днепродзержинск. Заводской р-н
;DN-45;51900 - 51999;г. Днепродзержинск. Днепровский р-н
;DN-46;50400 - 50479;г. Кривой Рог. Долгинцевский р-н
;DN-47;50400 - 50479;г. Кривой Рог. Жовтневый р-н
;DN-48;50400 - 50479;г. Кривой Рог. Ингулецкий р-н
;DN-49;50400 - 50479;г. Кривой Рог. Саксаганский р-н
;DN-50;50400 - 50479;г. Кривой Рог. Терновской р-н
;DN-51;50400 - 50479;г. Кривой Рог. Центрально-городской р-н
;;;ДОНЕЦКАЯ ОБЛАСТЬ - UR5I
;DO-01;83000 - 83499 ;г. Донецк. Буденовский р-н
;DO-02;;г. Донецк. Ворошиловский р-н
;DO-03;;г. Донецк. Калининский р-н
;DO-04;;г. Донецк. Киевский р-н
;DO-05;;г. Донецк. Кировский р-н
;DO-06;;г. Донецк. Куйбышевский р-н
;DO-07;;г. Донецк. Ленинский р-н
;DO-08;;г. Донецк. Петровский р-н
;DO-09;;г. Донецк. Пролетарский р-н
;DO-10;86060 - 86075 ;г. Авдеевка
;DO-11;84000 - 84060 ;Александровский р-н
